                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.5762,                 1.0842,                 1.2889,                0.81405,                0.76138,                0.87338,                 0.5295,                 1.3772,                 0.9584,                 1.2643,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.5942,                 1.1732,                 1.3117,                0.79859,                0.85428,                0.88502,                0.51886,                 1.4284,                0.98976,                 1.2837,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.5828,                 1.1433,                 1.2892,                0.79191,                0.86703,                0.89807,                0.55276,                 1.3312,                0.98306,                 1.2388,             0.00070981,             0.00070981,             0.00070981
                     61,                   1.57,                  1.102,                 1.2856,                0.82456,                0.82184,                0.89448,                0.52234,                 1.4237,                0.92671,                  1.292,             0.00069331,             0.00069331,             0.00069331
                     62,                  1.591,                 1.1317,                 1.3029,                0.79308,                0.81967,                0.87702,                0.50892,                 1.4253,                0.93686,                 1.2831,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.5596,                 1.1171,                 1.3038,                0.82471,                0.84699,                0.89413,                0.53372,                 1.3811,                0.94064,                 1.2694,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.5726,                 1.0799,                 1.2944,                0.80978,                0.77049,                0.85804,                0.50273,                 1.4065,                0.97219,                 1.2812,              0.0006438,              0.0006438,              0.0006438
                     65,                  1.564,                 1.1104,                 1.2891,                0.82275,                0.85792,                0.90555,                0.54706,                 1.3638,                0.91891,                 1.2528,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.5763,                 1.1258,                 1.2968,                0.81654,                0.81603,                0.87671,                0.52185,                 1.3989,                 1.0331,                 1.2757,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.5677,                 1.1207,                 1.2818,                0.81473,                0.79301,                0.87681,                0.53261,                 1.3714,                0.92539,                 1.2549,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.5487,                 1.1058,                 1.2797,                0.83758,                0.75145,                0.87769,                0.51944,                  1.425,                0.95286,                  1.295,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.5561,                 1.0559,                 1.2744,                0.82462,                0.79964,                0.88799,                0.53644,                 1.3618,                0.89141,                  1.253,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.5901,                 1.0947,                 1.2958,                0.81598,                0.83998,                0.89637,                0.55124,                 1.3498,                0.87876,                 1.2413,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.5684,                 1.0949,                 1.2816,                0.79975,                0.77841,                0.86281,                0.50734,                 1.4199,                0.95376,                 1.2864,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.5643,                 1.1082,                 1.2937,                0.83868,                0.83424,                 0.9001,                0.54545,                 1.3824,                0.89797,                 1.2688,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.5594,                 1.0881,                 1.2853,                0.81616,                 0.7844,                0.87324,                0.51866,                 1.3993,                0.91295,                 1.2753,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.5639,                 1.1011,                 1.2817,                0.81442,                0.80874,                0.87499,                0.50779,                  1.434,                0.92123,                 1.2789,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.5768,                 1.0802,                  1.293,                0.82576,                0.85461,                0.90275,                0.55156,                 1.3354,                0.88633,                 1.2327,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.5619,                 1.0931,                 1.2859,                0.81209,                0.82653,                0.88005,                0.53259,                   1.37,                 0.9493,                 1.2501,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.5357,                 1.1032,                  1.271,                0.81854,                0.85454,                0.91089,                0.55251,                 1.3613,                0.87278,                 1.2527,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.5424,                 1.0592,                 1.2786,                0.81189,                0.83331,                0.89804,                0.54928,                 1.3427,                  0.899,                 1.2491,             0.00041275,             0.00041275,             0.00041275
